Player,Win/Loss Ratio,Wins,Losses,Draws
Goose (10),4.56,41,9,0
test (5),4.33,39,9,0
Charlie (10),3.17,38,12,0
Coles (8),1.71,29,17,5
NewWorld (8),1.50,27,18,4
Woolie_V1 (8),1.47,28,19,4
Aldi (8),1.04,24,23,5
Cheapestgroceryprices (8),0.81,22,27,4
baseline (7),0.57,17,30,3
Iceman (10),0.48,15,31,4
Bulbasaur (4),0.45,15,33,2
Carlos (1),0.22,9,41,3
Gordon likes TWICE (9),0.15,6,41,4
