Player,Win/Loss Ratio,Wins,Losses,Draws
Charlie (10),3.27,36,11,1
test (5),3.00,36,12,0
Goose (10),1.56,28,18,1
Aldi (8),1.42,27,19,2
Cheapestgroceryprices (8),1.32,25,19,3
PaknSave (8),1.17,21,18,7
Woolie_V1 (8),0.95,21,22,5
Coles (8),0.86,18,21,9
Iceman (10),0.65,17,26,4
SASsinator (4),0.47,14,30,1
Carlos (1),0.30,10,33,3
Bulbasaur (4),0.29,10,34,2
