Player,Win/Loss Ratio,Wins,Losses,Draws
Charlie (10),4.62,37,8,1
test (5),3.70,37,10,0
Goose (10),1.59,27,17,1
Cheapestgroceryprices (8),1.56,25,16,5
Aldi (8),1.37,26,19,0
Woolie_V1 (8),1.26,24,19,4
Coles (8),1.06,19,18,9
Iceman (10),0.75,18,24,3
SASsinator (4),0.59,16,27,1
Carlos (1),0.41,12,29,3
Bulbasaur (4),0.32,11,34,1
FinalExamIsComming (9),0.11,4,35,6
