Player,Win/Loss Ratio,Wins,Losses,Draws
Zenvo (5),3.40,2835,834,0
switch (9),1.74,2332,1338,0
>>>>>>>>>>>>>>>GROUP 3<<<<<<<<<<<<<<<< (3),1.67,2293,1377,0
Deep Blue v7 (2),1.66,2290,1379,0
Goose (10),1.39,2133,1534,0
Packet Sniffer (8),1.04,1868,1799,0
############################################ (4),0.83,1664,2004,0
We win (6),0.71,1496,2097,75
Submission_grid (7),0.30,828,2771,73
Mike (1),0.17,531,3137,2
