Player,Win/Loss Ratio,Wins,Losses,Draws
test (5),3.65,73,20,0
Goose (10),3.27,72,22,0
Charlie (10),3.00,69,23,0
NewWorld (8),2.29,55,24,13
Aldi (8),1.55,51,33,11
Cheapestgroceryprices (8),1.18,47,40,7
Coles (8),1.15,46,40,7
Woolie_V1 (8),1.11,42,38,14
Iceman (10),0.57,31,54,8
Bulbasaur (4),0.47,28,60,6
baseline (7),0.35,22,62,9
Carlos (1),0.31,21,68,6
Gordon likes TWICE (9),0.10,8,81,7
