Player,Win/Loss Ratio,Wins,Losses,Draws
MASERATI (5),5.63,107,19,6
PORSCHE (5),5.05,106,21,6
Merlin (10),4.29,103,24,4
haha (9),4.17,100,24,6
Charlie (10),3.70,100,27,6
TODAY_2 (9),2.94,97,33,4
Viper (10),2.76,94,34,4
Iceman (10),1.93,83,43,6
TODAY1 (9),1.73,78,45,7
AtfirstIwasAfraidIwasPetrified (8),1.73,38,22,74
Ash has never won a League (8),1.63,70,43,18
Test11 (9),1.34,63,47,23
AuthenticPho (8),1.31,63,48,20
BayesianSusan (8),1.30,57,44,30
All about the Bayes bout the Bayes no Treble (8),1.22,60,49,24
We love Gordon (9),1.10,57,52,24
Test5 (9),1.00,50,50,32
FinalTestHopefully (9),0.95,54,57,23
Riskit4daBiscuit (2),0.93,63,68,4
Team8SimplePlayer (8),0.89,57,64,11
PLS DONT TEST ME (6),0.73,43,59,28
baseline (7),0.55,44,80,7
Second_test (7),0.55,45,82,8
setup (7),0.54,42,78,16
Gordon is watching (1),0.51,38,74,19
Avengers (6),0.47,35,74,21
Frank (1),0.46,37,81,13
Venu (3),0.35,29,84,19
Squirtle (5),0.31,30,96,7
Carlos (1),0.28,25,88,16
Echeveria (3),0.28,26,92,11
GORDAN GIVE ME GUM (1),0.20,17,86,30
Jacob (3),0.00,0,123,9
