Player,Win/Loss Ratio,Wins,Losses,Draws
Zenvo (5),4.87,263,54,0
>>>>>>>>>>>>>>>GROUP 3<<<<<<<<<<<<<<<< (3),2.20,310,141,0
Deep Blue v7 (2),1.66,281,169,0
Goose (10),1.38,261,189,0
switch (9),1.36,259,190,0
Packet Sniffer (8),1.15,241,210,0
############################################ (4),0.81,202,249,0
We win (6),0.68,125,183,9
Submission_grid (7),0.31,105,335,9
Mike (1),0.16,61,388,0
