Player,Win/Loss Ratio,Wins,Losses,Draws
Goose (10),4.50,27,6,0
test (5),3.57,25,7,0
Charlie (10),3.25,26,8,0
Coles (8),2.33,21,9,3
NewWorld (8),1.23,16,13,3
Woolie_V1 (8),1.07,16,15,2
Aldi (8),1.00,14,14,2
Cheapestgroceryprices (8),0.75,12,16,3
baseline (7),0.74,14,19,2
Bulbasaur (4),0.58,11,19,1
Iceman (10),0.53,10,19,1
Carlos (1),0.19,5,26,2
Gordon likes TWICE (9),0.07,2,28,1
