Player,Win/Loss Ratio,Wins,Losses,Draws
Charlie (10),4.71,33,7,1
test (5),4.25,34,8,0
Cheapestgroceryprices (8),2.70,27,10,5
PaknSave (8),2.00,22,11,9
Coles (8),1.77,23,13,6
Goose (10),1.73,26,15,1
Aldi (8),1.44,23,16,2
Woolie_V1 (8),1.31,21,16,5
Carlos (1),0.82,18,22,2
Iceman (10),0.76,16,21,5
SASsinator (4),0.54,14,26,1
Bulbasaur (4),0.50,13,26,3
basic (2),0.20,6,30,5
Deep Blue (2),0.12,4,34,4
TestFire (9),0.11,3,28,11
