Player,Win/Loss Ratio,Wins,Losses,Draws
test (5),3.59,115,32,6
Goose (10),3.17,111,35,7
NewWorld (8),2.10,82,39,33
Aldi (8),1.39,71,51,32
Coles (8),1.30,74,57,22
Cheapestgroceryprices (8),1.27,75,59,19
Woolie_V1 (8),1.12,66,59,28
Iceman (10),0.65,52,80,22
Bulbasaur (4),0.58,48,83,23
baseline (7),0.38,36,94,24
Carlos (1),0.35,35,100,17
Gordon loves TWICE (9),0.00,0,76,77
