Player,Win/Loss Ratio,Wins,Losses,Draws
test (5),3.67,44,12,0
Charlie (10),3.42,41,12,1
PaknSave (8),1.69,22,13,4
Goose (10),1.60,32,20,2
Woolie_V1 (8),1.38,29,21,7
Cheapestgroceryprices (8),1.17,28,24,4
Aldi (8),1.11,30,27,0
EasterTreat (1),0.79,11,14,3
Coles (8),0.77,20,26,10
Iceman (10),0.72,23,32,6
Carlos (1),0.29,12,41,2
Bulbasaur (4),0.28,12,43,3
Gordon likes TWICE (9),0.14,3,22,2
