Player,Win/Loss Ratio,Wins,Losses,Draws
Zenvo (5),3.35,7661,2286,0
>>>>>>>>>>>>>>>GROUP 3<<<<<<<<<<<<<<<< (3),1.72,6284,3662,0
switch (9),1.67,6223,3724,0
Deep Blue v7 (2),1.63,6163,3784,0
Goose (10),1.44,5876,4070,0
Packet Sniffer (8),1.09,5179,4769,0
############################################ (4),0.82,4488,5460,0
We win (6),0.71,4014,5681,253
Submission_grid (7),0.29,2206,7492,248
Mike (1),0.16,1387,8553,5
